ensembl_gene_id	mgi_symbol
ENSMUSG00000114089	Gm47116
ENSMUSG00000114277	Gm48583
ENSMUSG00000115529	9630013A20Rik
ENSMUSG00000115756	Gm49519
ENSMUSG00000116125	Gm41361
ENSMUSG00000116180	Gm49492
ENSMUSG00000116305	Lncppara
ENSMUSG00000116946	Gm41442
ENSMUSG00000120053	1700064N11Rik
ENSMUSG00000120068	Gm56647
ENSMUSG00000120226	Gm35287
ENSMUSG00000120418	Gm31115
ENSMUSG00000120456	1700080G18Rik
ENSMUSG00000120475	Gm57141
ENSMUSG00000121015	Gm56721
ENSMUSG00000124428	Gm69694
ENSMUSG00000127032	Gm68715
ENSMUSG00000127267	Gm59035
ENSMUSG00000130407	Gm66809
ENSMUSG00000130713	Gm36023
ENSMUSG00000130767	Gm33106
ENSMUSG00000131201	Gm10910
ENSMUSG00000131495	Gm69081
ENSMUSG00000132973	Gm65331
ENSMUSG00000133070	Gm33897
ENSMUSG00000133466	Gm70623
ENSMUSG00000133479	Gm72188
ENSMUSG00000133926	Gm31674
ENSMUSG00000134258	Gm73572
ENSMUSG00000134630	Gm67105
ENSMUSG00000135461	
ENSMUSG00000135861	Gm67261
ENSMUSG00000136119	Gm63232
ENSMUSG00000136293	Gm73895
ENSMUSG00000139960	Gm33105
ENSMUSG00000140427	Gm32574
ENSMUSG00000140491	Gm52688
ENSMUSG00000141869	Gm63176
ENSMUSG00000142285	Gm36221
ENSMUSG00000142378	Gm54175
ENSMUSG00000143017	Gm52059
ENSMUSG00000143881	Gm63284
