ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0033270,paranode region of axon,4/125,16/28585,6.088869664510742e-7,1.2238628025666593e-4,1.1152245490788097e-4,77767/118454/17136/230822,4
GO:0043209,myelin sheath,6/125,218/28585,4.052495559794974e-4,0.03926490049391573,0.03577948513192635,77767/118454/17136/17441/230822/18823,6
GO:0044304,main axon,4/125,87/28585,5.860432909539662e-4,0.03926490049391573,0.03577948513192635,77767/118454/17136/230822,4
GO:0098637,protein complex involved in cell-matrix adhesion,2/125,14/28585,0.0016678881485010645,0.05467561542686911,0.049822241865803744,18073/21923,2
GO:0062023,collagen-containing extracellular matrix,7/125,390/28585,0.0016774998776635632,0.05467561542686911,0.049822241865803744,140703/23876/16426/18073/27047/96875/21923,7
GO:0098636,protein complex involved in cell adhesion,3/125,57/28585,0.0020105855804907124,0.05467561542686911,0.049822241865803744,18073/18823/21923,3
GO:0043220,Schmidt-Lanterman incisure,2/125,16/28585,0.002186864197962625,0.05467561542686911,0.049822241865803744,17136/230822,2
GO:0043230,extracellular organelle,4/125,128/28585,0.0024481618847851843,0.05467561542686911,0.049822241865803744,60533/100702/60440/20528,4
GO:0065010,extracellular membrane-bounded organelle,4/125,128/28585,0.0024481618847851843,0.05467561542686911,0.049822241865803744,60533/100702/60440/20528,4
GO:0043218,compact myelin,2/125,21/28585,0.0037727221842680683,0.07583171590378818,0.06910038526975198,17136/230822,2
GO:0031901,early endosome membrane,3/125,100/28585,0.009699454368470676,0.17414040893917831,0.1586825407458341,60533/211429/329502,3
GO:0005938,cell cortex,5/125,300/28585,0.010396442324727063,0.17414040893917831,0.1586825407458341,13491/77767/232889/19229/56544,5
GO:0098802,plasma membrane signaling receptor complex,4/125,201/28585,0.011880848907041218,0.18369620233194497,0.16739009796155238,16161/18823/19229/50765,4
GO:0000786,nucleosome,3/125,119/28585,0.015473636002776,0.22215720261128402,0.20243704244233263,50709/319149/97122,3
GO:0005771,multivesicular body,2/125,59/28585,0.027597830431441123,0.337730978010603,0.30775171601908835,69550/20528,2
GO:0044815,DNA packaging complex,3/125,151/28585,0.028762946968813746,0.337730978010603,0.30775171601908835,50709/319149/97122,3
GO:0043204,perikaryon,3/125,154/28585,0.030239979690188126,0.337730978010603,0.30775171601908835,109900/12290/118454,3
GO:0001533,cornified envelope,2/125,62/28585,0.03024456519497937,0.337730978010603,0.30775171601908835,19144/18788,2
GO:0001520,outer dense fiber,1/125,10/28585,0.042885295593226846,0.35307120134624975,0.32173023846162585,252868,1
GO:0032593,insulin-responsive compartment,1/125,10/28585,0.042885295593226846,0.35307120134624975,0.32173023846162585,20528,1
GO:0070852,cell body fiber,1/125,10/28585,0.042885295593226846,0.35307120134624975,0.32173023846162585,109900,1
GO:0099535,synapse-associated extracellular matrix,1/125,10/28585,0.042885295593226846,0.35307120134624975,0.32173023846162585,21923,1
GO:0016529,sarcoplasmic reticulum,2/125,76/28585,0.043825813010022745,0.35307120134624975,0.32173023846162585,69563/20528,2
GO:0001931,uropod,1/125,11/28585,0.04707214906832147,0.35307120134624975,0.32173023846162585,12182,1
GO:0060091,kinocilium,1/125,11/28585,0.04707214906832147,0.35307120134624975,0.32173023846162585,59030,1
GO:0097732,9+2 non-motile cilium,1/125,11/28585,0.04707214906832147,0.35307120134624975,0.32173023846162585,59030,1
GO:0010494,cytoplasmic stress granule,2/125,81/28585,0.04913084705523155,0.35307120134624975,0.32173023846162585,12696/244551,2
GO:0031254,cell trailing edge,1/125,12/28585,0.051240833234572625,0.35307120134624975,0.32173023846162585,12182,1
GO:0019898,extrinsic component of membrane,4/125,321/28585,0.05272757459282811,0.35307120134624975,0.32173023846162585,12182/19229/54524/269589,4
GO:0001673,male germ cell nucleus,2/125,86/28585,0.05465523263104563,0.35307120134624975,0.32173023846162585,74469/21973,2
GO:0032009,early phagosome,1/125,14/28585,0.05952400616486464,0.35307120134624975,0.32173023846162585,18784,1
GO:0042824,MHC class I peptide loading complex,1/125,15/28585,0.06363865035755578,0.35307120134624975,0.32173023846162585,15015,1
GO:0005769,early endosome,4/125,347/28585,0.0662722601144838,0.35307120134624975,0.32173023846162585,60533/71775/211429/329502,4
GO:0005798,Golgi-associated vesicle,2/125,97/28585,0.06752327887531027,0.35307120134624975,0.32173023846162585,11434/20528,2
GO:0016528,sarcoplasm,2/125,99/28585,0.06996143704089801,0.35307120134624975,0.32173023846162585,69563/20528,2
GO:0005614,interstitial matrix,1/125,17/28585,0.07181444028394035,0.35307120134624975,0.32173023846162585,21923,1
GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,1/125,17/28585,0.07181444028394035,0.35307120134624975,0.32173023846162585,107770,1
GO:0005767,secondary lysosome,1/125,18/28585,0.0758757394635996,0.35307120134624975,0.32173023846162585,18784,1
GO:0035098,ESC/E(Z) complex,1/125,18/28585,0.0758757394635996,0.35307120134624975,0.32173023846162585,319903,1
GO:0070062,extracellular exosome,2/125,105/28585,0.0774446591652927,0.35307120134624975,0.32173023846162585,60533/20528,2
GO:0032993,protein-DNA complex,3/125,227/28585,0.07781424107104129,0.35307120134624975,0.32173023846162585,50709/319149/97122,3
GO:0030133,transport vesicle,4/125,368/28585,0.07841095837281496,0.35307120134624975,0.32173023846162585,17357/18205/20528/269589,4
GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,1/125,19/28585,0.07991940987235935,0.35307120134624975,0.32173023846162585,52670,1
GO:0005811,lipid droplet,2/125,109/28585,0.08256746417317135,0.35307120134624975,0.32173023846162585,232889/57435,2
GO:0043073,germ cell nucleus,2/125,109/28585,0.08256746417317135,0.35307120134624975,0.32173023846162585,74469/21973,2
GO:0005922,connexin complex,1/125,20/28585,0.08394552741650152,0.35307120134624975,0.32173023846162585,118454,1
GO:0042734,presynaptic membrane,3/125,238/28585,0.08677386433680022,0.35307120134624975,0.32173023846162585,12290/13491/17357,3
GO:0005604,basement membrane,2/125,115/28585,0.09043980623142572,0.35307120134624975,0.32173023846162585,18073/21923,2
GO:0036464,cytoplasmic ribonucleoprotein granule,3/125,245/28585,0.09269343345558044,0.35307120134624975,0.32173023846162585,12696/50723/244551,3
GO:1903561,extracellular vesicle,2/125,119/28585,0.09580622283149144,0.35307120134624975,0.32173023846162585,60533/20528,2
GO:0005849,mRNA cleavage factor complex,1/125,23/28585,0.09591931706936896,0.35307120134624975,0.32173023846162585,52670,1
GO:0005797,Golgi medial cisterna,1/125,24/28585,0.09987597575455653,0.35307120134624975,0.32173023846162585,15015,1
GO:0033017,sarcoplasmic reticulum membrane,1/125,24/28585,0.09987597575455653,0.35307120134624975,0.32173023846162585,69563,1
GO:0043505,CENP-A containing nucleosome,1/125,24/28585,0.09987597575455653,0.35307120134624975,0.32173023846162585,97122,1
GO:0061638,CENP-A containing chromatin,1/125,24/28585,0.09987597575455653,0.35307120134624975,0.32173023846162585,97122,1
GO:0097038,perinuclear endoplasmic reticulum,1/125,24/28585,0.09987597575455653,0.35307120134624975,0.32173023846162585,54524,1
GO:0032398,MHC class Ib protein complex,1/125,25/28585,0.10381545627101907,0.35307120134624975,0.32173023846162585,15015,1
GO:0034506,"chromosome, centromeric core domain",1/125,25/28585,0.10381545627101907,0.35307120134624975,0.32173023846162585,97122,1
GO:0042612,MHC class I protein complex,1/125,25/28585,0.10381545627101907,0.35307120134624975,0.32173023846162585,15015,1
GO:0035770,ribonucleoprotein granule,3/125,263/28585,0.10865079913234293,0.35307120134624975,0.32173023846162585,12696/50723/244551,3
GO:0034361,very-low-density lipoprotein particle,1/125,27/28585,0.11164317840816473,0.35307120134624975,0.32173023846162585,11812,1
GO:0034385,triglyceride-rich plasma lipoprotein particle,1/125,27/28585,0.11164317840816473,0.35307120134624975,0.32173023846162585,11812,1
GO:0043235,receptor complex,4/125,419/28585,0.11209954182727189,0.35307120134624975,0.32173023846162585,16161/18823/19229/50765,4
GO:0030018,Z disc,2/125,131/28585,0.11242068102567156,0.35307120134624975,0.32173023846162585,74165/226438,2
GO:0098982,GABA-ergic synapse,2/125,134/28585,0.1166849671293054,0.3570480192343358,0.3253540473777137,12290/13491,2
GO:0031588,nucleotide-activated protein kinase complex,1/125,29/28585,0.1194030715492399,0.3570480192343358,0.3253540473777137,73542,1
GO:0070382,exocytic vesicle,3/125,275/28585,0.11984103759808062,0.3570480192343358,0.3253540473777137,17357/18205/269589,3
GO:0031514,motile cilium,3/125,276/28585,0.1207923647160937,0.3570480192343358,0.3253540473777137,70897/59030/252868,3
GO:0097440,apical dendrite,1/125,30/28585,0.12325776464548366,0.35905522744553936,0.3271830823541443,19229,1
GO:0005669,transcription factor TFIID complex,1/125,32/28585,0.1309170059644449,0.3603189016024755,0.32833458433532725,74469,1
GO:0070971,endoplasmic reticulum exit site,1/125,32/28585,0.1309170059644449,0.3603189016024755,0.32833458433532725,15015,1
GO:0099523,presynaptic cytosol,1/125,32/28585,0.1309170059644449,0.3603189016024755,0.32833458433532725,17357,1
GO:0098685,Schaffer collateral - CA1 synapse,2/125,144/28585,0.13118261967600073,0.3603189016024755,0.32833458433532725,19229/73710,2
GO:0031674,I band,2/125,145/28585,0.13265471999295117,0.3603189016024755,0.32833458433532725,74165/226438,2
GO:0008305,integrin complex,1/125,33/28585,0.1347216980897714,0.3610541508805874,0.32900456796659966,18823,1
GO:0010008,endosome membrane,3/125,294/28585,0.13838092819016462,0.3615647167488356,0.3294698125912406,60533/211429/329502,3
GO:0005921,gap junction,1/125,34/28585,0.13850986661522557,0.3615647167488356,0.3294698125912406,118454,1
GO:0034364,high-density lipoprotein particle,1/125,35/28585,0.14228158272580294,0.36664869394726146,0.33410250194722957,11812,1
GO:0030140,trans-Golgi network transport vesicle,1/125,37/28585,0.14977594092265478,0.38070207898840647,0.346908414474903,20528,1
GO:0055037,recycling endosome,2/125,159/28585,0.15363735977390475,0.38070207898840647,0.346908414474903,60533/71775,2
GO:0042470,melanosome,1/125,39/28585,0.15720533609969023,0.38070207898840647,0.346908414474903,269589,1
GO:0042611,MHC protein complex,1/125,39/28585,0.15720533609969023,0.38070207898840647,0.346908414474903,15015,1
GO:0048770,pigment granule,1/125,39/28585,0.15720533609969023,0.38070207898840647,0.346908414474903,269589,1
GO:0042383,sarcolemma,2/125,166/28585,0.16435909775468885,0.3919461252083413,0.35715436389762445,20528/434246,2
GO:0099092,"postsynaptic density, intracellular component",1/125,42/28585,0.16822884386710402,0.3919461252083413,0.35715436389762445,19229,1
GO:0034358,plasma lipoprotein particle,1/125,43/28585,0.17187146708528733,0.3919461252083413,0.35715436389762445,11812,1
GO:0097386,glial cell projection,1/125,43/28585,0.17187146708528733,0.3919461252083413,0.35715436389762445,77767,1
GO:1990777,lipoprotein particle,1/125,43/28585,0.17187146708528733,0.3919461252083413,0.35715436389762445,11812,1
GO:0005891,voltage-gated calcium channel complex,1/125,44/28585,0.17549826501866028,0.3919461252083413,0.35715436389762445,12290,1
GO:0008328,ionotropic glutamate receptor complex,1/125,44/28585,0.17549826501866028,0.3919461252083413,0.35715436389762445,19229,1
GO:0032994,protein-lipid complex,1/125,46/28585,0.182704657541378,0.39749542992884085,0.36221107519045986,11812,1
GO:0098878,neurotransmitter receptor complex,1/125,46/28585,0.182704657541378,0.39749542992884085,0.36221107519045986,19229,1
GO:0019897,extrinsic component of plasma membrane,2/125,180/28585,0.18617169511617487,0.39749542992884085,0.36221107519045986,19229/269589,2
GO:0036126,sperm flagellum,2/125,182/28585,0.18932184841608457,0.39749542992884085,0.36221107519045986,70897/252868,2
GO:0009295,nucleoid,1/125,48/28585,0.1898485635481031,0.39749542992884085,0.36221107519045986,227231,1
GO:0042645,mitochondrial nucleoid,1/125,48/28585,0.1898485635481031,0.39749542992884085,0.36221107519045986,227231,1
GO:0099522,cytosolic region,1/125,49/28585,0.19339725225246895,0.40075100724480683,0.36517766567476506,17357,1
GO:0099091,"postsynaptic specialization, intracellular component",1/125,50/28585,0.19693052052652382,0.4039085165901152,0.3680548933578426,19229,1
GO:0031519,PcG protein complex,1/125,51/28585,0.20044843483997032,0.40697106467509125,0.3708455891776165,319903,1
GO:0097729,9+2 motile cilium,2/125,198/28585,0.21475877908869145,0.43166514596826977,0.3933476585413928,70897/252868,2
GO:0030017,sarcomere,2/125,200/28585,0.21796268013095627,0.43376731392398227,0.39526322399985814,74165/226438,2
GO:0097225,sperm midpiece,1/125,57/28585,0.22123717419362143,0.43596737267566577,0.39726799081207564,70897,1
GO:0043197,dendritic spine,2/125,206/28585,0.22759889807201597,0.4407444699008039,0.401621040915108,13491/19229,2
GO:0055038,recycling endosome membrane,1/125,59/28585,0.2280468898989234,0.4407444699008039,0.401621040915108,60533,1
GO:0001917,photoreceptor inner segment,1/125,61/28585,0.23479753181613872,0.44946956090517987,0.4095716344461968,114230,1
GO:0044309,neuron spine,2/125,212/28585,0.2372654144275395,0.449908946225806,0.4099720169850236,13491/19229,2
GO:0045121,membrane raft,3/125,390/28585,0.2434920853045211,0.4553330020539949,0.414914597315502,17441/19229/20528,3
GO:0098857,membrane microdomain,3/125,391/28585,0.24465653841707188,0.4553330020539949,0.414914597315502,17441/19229/20528,3
GO:0019005,SCF ubiquitin ligase complex,1/125,68/28585,0.2579668728875901,0.4622264365129969,0.42119612439518966,74165,1
GO:0031985,Golgi cisterna,1/125,68/28585,0.2579668728875901,0.4622264365129969,0.42119612439518966,15015,1
GO:0034704,calcium channel complex,1/125,68/28585,0.2579668728875901,0.4622264365129969,0.42119612439518966,12290,1
GO:0030016,myofibril,2/125,225/28585,0.25827594546111904,0.4622264365129969,0.42119612439518966,74165/226438,2
GO:0032421,stereocilium bundle,1/125,69/28585,0.2612194640047849,0.4622264365129969,0.42119612439518966,59030,1
GO:0016324,apical plasma membrane,3/125,406/28585,0.26222582215166856,0.4622264365129969,0.42119612439518966,69550/55961/117591,3
GO:0030315,T-tubule,1/125,70/28585,0.2644579114377843,0.4622264365129969,0.42119612439518966,20528,1
GO:0005905,clathrin-coated pit,1/125,71/28585,0.2676822761956409,0.4631697200119554,0.42205567573752417,20528,1
GO:0098858,actin-based cell projection,2/125,232/28585,0.26960625493233226,0.4631697200119554,0.42205567573752417,77767/545902,2
GO:0043292,contractile fiber,2/125,238/28585,0.27931661677744235,0.47368457166636896,0.43163715878475095,74165/226438,2
GO:0035097,histone methyltransferase complex,1/125,75/28585,0.2804401195437707,0.47368457166636896,0.43163715878475095,319903,1
GO:0005770,late endosome,2/125,244/28585,0.28901896799968285,0.4815089301527088,0.4387669748445736,69550/20528,2
GO:0016591,"RNA polymerase II, holoenzyme",1/125,78/28585,0.2898635848182973,0.4815089301527088,0.4387669748445736,74469,1
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,1/125,79/28585,0.292977453408388,0.48269236176299984,0.4398453571446032,107770,1
GO:0005581,collagen trimer,1/125,81/28585,0.29916461341195877,0.4888787585024692,0.44548260790484234,140703,1
GO:0000775,"chromosome, centromeric region",2/125,258/28585,0.3115930641943925,0.4996296321789291,0.45527916207977825,97122/21973,2
GO:0008021,synaptic vesicle,2/125,258/28585,0.3115930641943925,0.4996296321789291,0.45527916207977825,17357/18205,2
GO:0000139,Golgi membrane,2/125,259/28585,0.3132006649479854,0.4996296321789291,0.45527916207977825,230379/53897,2
GO:0000932,P-body,1/125,89/28585,0.32338071471466,0.50780877857536455,0.46273227270025363,244551,1
GO:0005788,endoplasmic reticulum lumen,1/125,89/28585,0.32338071471466,0.50780877857536455,0.46273227270025363,18205,1
GO:0044291,cell-cell contact zone,1/125,90/28585,0.32634875972661515,0.5084969046903074,0.46335931613570824,226115,1
GO:0043195,terminal bouton,1/125,93/28585,0.3351756223475787,0.5182330776297178,0.4722312412022566,13491,1
GO:0005795,Golgi stack,1/125,94/28585,0.3380923374678424,0.5187523651224146,0.47270443326158756,15015,1
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,1/125,95/28585,0.34099635831009134,0.5192444546994572,0.4731528416742894,19229,1
GO:0045171,intercellular bridge,1/125,98/28585,0.34963280204688774,0.5254711547692957,0.47882681817154993,73710,1
GO:0030667,secretory granule membrane,1/125,99/28585,0.35248659148572437,0.5254711547692957,0.47882681817154993,228993,1
GO:0030175,filopodium,1/125,100/28585,0.355327958334853,0.5254711547692957,0.47882681817154993,77767,1
GO:0030141,secretory granule,3/125,485/28585,0.35633578889120743,0.5254711547692957,0.47882681817154993,11434/228993/20528,3
GO:0055029,nuclear DNA-directed RNA polymerase complex,1/125,101/28585,0.3581569562357886,0.5254711547692957,0.47882681817154993,74469,1
