ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009615,response to virus,9/16,366/28564,8.9225297601866e-14,4.586180296735913e-11,2.3480341474175266e-11,69550/15951/76933/15957/66141/54123/16819/23961/67775,9
GO:0051607,defense response to virus,7/16,305/28564,1.5565300207826598e-10,2.7285308222938054e-8,1.3969541379755302e-8,69550/15951/15957/66141/54123/23961/67775,7
GO:0140546,defense response to symbiont,7/16,306/28564,1.5925277172921042e-10,2.7285308222938054e-8,1.3969541379755302e-8,69550/15951/15957/66141/54123/23961/67775,7
GO:0045071,negative regulation of viral genome replication,5/16,66/28564,2.41656887799904e-10,3.105291008228767e-8,1.5898479460520003e-8,69550/15951/66141/17002/23961,5
GO:0035455,response to interferon-alpha,4/16,32/28564,2.337913524483117e-9,2.0038652186664625e-7,1.025939595876747e-7,69550/15951/15957/66141,4
GO:0045069,regulation of viral genome replication,5/16,103/28564,2.339142278598983e-9,2.0038652186664625e-7,1.025939595876747e-7,69550/15951/66141/17002/23961,5
GO:0048525,negative regulation of viral process,5/16,111/28564,3.4158174846540534e-9,2.5081859815888333e-7,1.2841419115240802e-7,69550/15951/66141/17002/23961,5
GO:0019079,viral genome replication,5/16,133/28564,8.505507421917396e-9,5.464788518581927e-7,2.7978642835254597e-7,69550/15951/66141/17002/23961,5
GO:1903900,regulation of viral life cycle,5/16,164/28564,2.4357222147439454e-8,1.391068020420431e-6,7.121994779953057e-7,69550/15951/66141/17002/23961,5
GO:0050792,regulation of viral process,5/16,194/28564,5.641375149957232e-8,2.8996668270780172e-6,1.4845724078834822e-6,69550/15951/66141/17002/23961,5
GO:0035456,response to interferon-beta,4/16,71/28564,6.234672287778286e-8,2.9132923235618534e-6,1.4915483942053314e-6,69550/15951/15957/66141,4
GO:0019058,viral life cycle,5/16,257/28564,2.2844497892905218e-7,9.785059930794402e-6,5.009758309847636e-6,69550/15951/66141/17002/23961,5
GO:0016032,viral process,5/16,334/28564,8.336519431030053e-7,3.29613152888419e-5,1.6875545406943428e-5,69550/15951/66141/17002/23961,5
GO:0010466,negative regulation of peptidase activity,4/16,267/28564,1.2435234385100296e-5,4.565507481386823e-4,2.3374500723872735e-4,15951/17002/18054/19225,4
GO:2000117,negative regulation of cysteine-type endopeptidase activity,3/16,102/28564,2.3933954421125316e-5,8.201368381638941e-4,4.198939372127248e-4,15951/17002/19225,3
GO:0045861,negative regulation of proteolysis,4/16,368/28564,4.36398776668541e-5,0.0013475915018477842,6.899403552364246e-4,15951/17002/18054/19225,4
GO:0051346,negative regulation of hydrolase activity,4/16,370/28564,4.457014694827302e-5,0.0013475915018477842,6.899403552364246e-4,15951/17002/18054/19225,4
GO:0035457,cellular response to interferon-alpha,2/16,20/28564,5.556321978414742e-5,0.0015866386093917654,8.123277746220383e-4,15951/15957,2
GO:0031349,positive regulation of defense response,4/16,452/28564,9.683470373624441e-5,0.002619633564233138,0.0013412008827734683,15951/54123/17002/19225,4
GO:0052547,regulation of peptidase activity,4/16,466/28564,1.0892740682328782e-4,0.002799434355358497,0.0014332553529379977,15951/17002/18054/19225,4
GO:0010951,negative regulation of endopeptidase activity,3/16,193/28564,1.5939746429956617e-4,0.0039014426976179527,0.0019974619586411797,15951/17002/19225,3
GO:1903901,negative regulation of viral life cycle,2/16,35/28564,1.7314998468747353e-4,0.004045413278607336,0.0020711720656396357,69550/66141,2
