gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000033880	963.5915747027642	1.5296654558395049	0.1990443117725827	4.2678877291458556e-16	8.750023422294834e-12
ENSMUSG00000115529	151.40897194881742	-1.6332317549138986	0.3954240658063579	2.7828263466231356e-8	2.852675287923376e-4
ENSMUSG00000026879	2912.7214758143637	-0.6071250055239351	0.13238848276126775	1.0457168168384672e-7	5.438137231684008e-4
ENSMUSG00000092274	4438.649949837237	0.8569717835807066	0.23623852189122535	1.0609964357982652e-7	5.438137231684008e-4
ENSMUSG00000005397	1010.3482114540867	-0.7797576935852154	0.26567525536225467	1.398212617452694e-6	0.0052741672066325416
ENSMUSG00000076439	821.8289847940716	-0.7852062067525836	0.2737170528021322	1.543508108467235e-6	0.0052741672066325416
ENSMUSG00000024423	8816.137008749049	0.5261586437372775	0.1309222023980439	2.006586735543571e-6	0.005877005893159184
ENSMUSG00000063564	749.2343196786123	-0.5619289706712556	0.15303926670865425	3.044153107735499e-6	0.006934580779421467
ENSMUSG00000104674	105.91875473851964	1.0987262651279177	0.6356096679292856	2.9592088252814954e-6	0.006934580779421467
ENSMUSG00000006522	3773.337310974981	0.6175598620166659	0.1966084060640847	4.318689616069339e-6	0.007378481209054466
ENSMUSG00000038630	1932.5160822856558	0.5858706661993668	0.17344741477755185	4.0892773306255665e-6	0.007378481209054466
ENSMUSG00000046718	218.1477978571698	0.9649764351745282	0.5186740673501334	3.99545775164767e-6	0.007378481209054466
ENSMUSG00000040856	307.8453763424936	0.9459439327009967	0.5877254350361131	5.457881656694108e-6	0.008607499209657124
ENSMUSG00000037625	6207.128914776814	-0.6103377868194784	0.2158288313773351	7.339390219145743e-6	0.01074801273378043
ENSMUSG00000059824	1817.505771801463	-0.5604438479870769	0.1800131529566257	8.098906186416826e-6	0.011069584975594519
ENSMUSG00000140435	337.6206980839006	0.6935919710868499	0.33804199068392743	9.65504040034731e-6	0.012371727392995033
ENSMUSG00000051985	96.74829129797378	0.788477984193073	0.5659099965734593	1.140867164065964e-5	0.013758857998635526
ENSMUSG00000076617	175.02335093388348	0.64302109499043	0.32984964545797535	1.4871063728152311e-5	0.016938141586365484
ENSMUSG00000027375	10462.243427583067	-0.501997820228826	0.17229960067303687	1.8226903574269658e-5	0.01836534778405519
ENSMUSG00000031342	63718.51230617562	-0.4230104761554522	0.12882156787415672	1.8772385072239624e-5	0.01836534778405519
ENSMUSG00000038007	460.07836361486534	0.579494100067655	0.2588839664629838	1.8811447832658225e-5	0.01836534778405519
ENSMUSG00000097929	1695.2097986892325	-0.44521053827916934	0.14188803855837184	2.0506532437731924e-5	0.01911022400174454
ENSMUSG00000027955	214.87464881151246	-0.5381464419553527	0.32415613451011566	3.981134495025137e-5	0.03548748670304581
ENSMUSG00000027858	7865.500375512589	-0.4618425058591992	0.19212204318213563	4.607317313273213e-5	0.03633046906027977
ENSMUSG00000034459	249.59617601777785	0.5351105002484754	0.4481220090767716	4.447965254759652e-5	0.03633046906027977
ENSMUSG00000085438	37507.56521264671	-0.4243831835447574	0.15886675907997233	4.421301547445039e-5	0.03633046906027977
ENSMUSG00000048960	6657.168090659517	-0.41635495443995174	0.16004094869170873	5.0747128186789e-5	0.038533986003168444
ENSMUSG00000053411	3326.2858422571	0.43743611190451703	0.1822502199557158	5.587375679490696e-5	0.04091156292175652
ENSMUSG00000104494	225.23740579864446	-0.49891082931959657	0.3775442596784233	5.8580477334983915e-5	0.0414143774593738
ENSMUSG00000026872	3301.1120899959424	-0.39926585684476895	0.15737378499495216	6.086184968019815e-5	0.041592988071447415
ENSMUSG00000046442	2394.1901320783513	0.37940822771605354	0.1475835871884703	6.466531301978528e-5	0.042766717662310896
ENSMUSG00000019232	7328.8416762081015	0.43546110688446826	0.2442118321822486	9.79261973330049e-5	0.05851184133113978
ENSMUSG00000030172	3690.424611890753	-0.3875606671028557	0.17573645191393458	9.735999259921979e-5	0.05851184133113978
ENSMUSG00000050967	458.867585588949	0.43588694373174347	0.25097074448014467	9.988852046580295e-5	0.05851184133113978
ENSMUSG00000109904	122.53149587718369	-0.42580845253968663	0.3913097973817619	9.940278192599584e-5	0.05851184133113978
ENSMUSG00000032517	38808.68169430044	-0.41606589266888955	0.2348070312818488	1.1804107838456516e-4	0.0654075186227123
ENSMUSG00000051615	2204.335372490852	-0.37765314782704856	0.17948912696129507	1.161628917239765e-4	0.0654075186227123
ENSMUSG00000023827	923.4787298113599	-0.3801712855721998	0.19478631219358364	1.3508092838321982e-4	0.06926536880948159
ENSMUSG00000056427	747.3087838464752	-0.39114053072844174	0.20335540798744448	1.2854217796010929e-4	0.06926536880948159
ENSMUSG00000107134	1093.0699359875814	-0.3708199099380943	0.18474685421581546	1.351387548716839e-4	0.06926536880948159
ENSMUSG00000011884	1343.2513168864066	-0.3849625053984031	0.20780455464818426	1.4387067664724845e-4	0.0719423564054119
ENSMUSG00000081272	1366.0778940804269	-0.39110538743807627	0.22156582299775415	1.475238531608254e-4	0.07201271517864863
ENSMUSG00000027524	235.91429131581782	-0.38540652240728773	0.34603837436887186	1.524051754312562e-4	0.0726653699230608
ENSMUSG00000031618	1166.2314775098316	0.3818589140362362	0.22987908322337106	1.719031831480096e-4	0.07661650132392377
ENSMUSG00000038173	589.3084029192978	-0.3492908364890256	0.38277614683108035	1.7097275485564774e-4	0.07661650132392377
ENSMUSG00000047945	946.3661110859198	-0.36784794334435744	0.35093396250922926	1.715629429646031e-4	0.07661650132392377
ENSMUSG00000036402	2287.0637087116393	-0.370080184546209	0.21168589424300044	1.768637186817798e-4	0.07715021192369893
ENSMUSG00000085873	367.0464570450455	0.31201911623458384	0.4098777656985528	1.8571506202220482e-4	0.07932354586623423
ENSMUSG00000005045	1773.3531372590276	0.3741543581663058	0.23476115315945636	1.9180552985610352e-4	0.08025299945122111
ENSMUSG00000056966	3915.044107128926	-0.3515579548234821	0.198682991639506	1.974902520481798e-4	0.08097890294983565
ENSMUSG00000086219	209.2558065996365	-0.36735878236517217	0.3062795793157108	2.0290410581581995e-4	0.08156745053795962
ENSMUSG00000025533	645.3286076139875	0.3479242839108993	0.32694783322141574	2.2168803527492252e-4	0.08716514453948168
ENSMUSG00000040035	10407.490835148023	0.3015246990860171	0.1615478799114313	2.2533180473088135e-4	0.08716514453948168
ENSMUSG00000073418	706.2532663122379	0.35082645275174257	0.31033457739923337	2.3207913307517208e-4	0.08811271085754034
ENSMUSG00000078903	36.37663606521808	0.17108147753242825	0.4048135696610668	2.479827320780143e-4	0.09243894496478998
ENSMUSG00000066180	22.477348015164896	-0.09648488791403916	0.3321356931163993	2.664146835045104e-4	0.0958251551089381
ENSMUSG00000079017	93.44107974691366	0.12608972076975636	0.3682023555305852	2.650308519283848e-4	0.0958251551089381
ENSMUSG00000020623	958.0222831528912	-0.3291893359722909	0.21794389199838485	2.955809042386735e-4	0.09769534484057608
ENSMUSG00000021091	187.93535125550943	0.30508404779000925	0.3365382238923795	2.9063863096462437e-4	0.09769534484057608
ENSMUSG00000029304	1632.6799351462325	0.3308364163658611	0.22360320485582844	2.9892639231857306e-4	0.09769534484057608
ENSMUSG00000046764	10.661518674122716	0.011422321538846135	0.10591774619127306	2.860634353860648e-4	0.09769534484057608
ENSMUSG00000061724	89.13238810988446	0.22987940412974014	0.38715237140965425	0.00030020518607727506	0.09769534484057608
ENSMUSG00000110140	42.62038238176294	0.1118329218480267	0.3509697415404401	2.767602600691834e-4	0.09769534484057608
ENSMUSG00000034701	15731.572107669363	-0.3003500331565054	0.1892517401568899	3.2777237640774736e-4	0.10499983220486932
ENSMUSG00000021143	5198.028875386757	-0.2869470156718605	0.18161501641838199	3.52748804948391e-4	0.11126239998541403
ENSMUSG00000026478	1351.5159799806258	-0.2876169144968255	0.1904642797777266	3.8516597435769243e-4	0.11964655767093045
ENSMUSG00000029622	381.58614824011966	-0.30678222422064094	0.2761101538141235	3.976926763164975e-4	0.12169395895284824
ENSMUSG00000028555	260.6956658628996	0.28559963670486427	0.3022834638529046	4.180932609963688e-4	0.12605511819040519
ENSMUSG00000042978	20851.306808925387	-0.28075126848097404	0.19464441381248593	4.3452633278877215e-4	0.12911099818602037
ENSMUSG00000078161	768.7796888681885	0.29568972749994976	0.2460430483750041	4.681912871265762e-4	0.13712653955241524
ENSMUSG00000034164	349.78913247870526	-0.25593050749916757	0.3061321913195683	5.04092187952839e-4	0.14445717812673387
ENSMUSG00000046215	79.27417293042225	0.11737177784090956	0.32809422845892733	5.073123024643858e-4	0.14445717812673387
ENSMUSG00000021364	1868.4183748361397	-0.2584012998651382	0.18646522965198636	5.225470891190718e-4	0.1447737894745839
ENSMUSG00000038843	545.3471349250198	-0.2846536710450236	0.23367697238804094	5.193125916121969e-4	0.1447737894745839
ENSMUSG00000046699	3080.8275982511113	-0.27168087658467743	0.2081427375562854	5.374858057854656e-4	0.14692711986951487
ENSMUSG00000029059	1773.6223148371444	0.26686066457752533	0.20507521633483014	5.566669868627222e-4	0.14890720489470147
ENSMUSG00000096596	11.983603589763618	0.019632294372735237	0.14121940216073278	5.592554276115507e-4	0.14890720489470147
