gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000068323	676.9692590681937	0.002092573909605457	0.008187491707263557	9.088389148783077e-7	0.027012510228013063
ENSMUSG00000022512	314.3218488632947	0.0014646504089850826	0.008192202403533175	6.042721273693201e-6	0.08980088084835466
ENSMUSG00000048108	595.3921898013168	0.0016789513891326071	0.008189560111550143	1.2668146616118677e-5	0.12550755124142643
ENSMUSG00000034739	457.05373571011	0.0016677050729118955	0.008189034291233337	2.4862777190949438e-5	0.1847428659173498
ENSMUSG00000028125	439.7659818337089	0.0016525825923875423	0.008188542002478979	4.608529003714608e-5	0.2739493980968111
ENSMUSG00000000001	2045.4551277623857	-1.7612799616603398e-4	0.008182969673971717	0.7273269331779116	0.9999567909085414
ENSMUSG00000000028	99.01464846924142	-3.4674863199132744e-5	0.008195498449214408	0.8778326034970552	0.9999567909085414
ENSMUSG00000000031	45.48814028958317	1.7808109840178755e-4	0.008197368864540875	0.21083857513102755	0.9999567909085414
ENSMUSG00000000037	28.35317081436925	-8.409073197795502e-5	0.008197724845290631	0.4837885295383117	0.9999567909085414
ENSMUSG00000000049	11.542113858549	1.3536652303008407e-5	0.00819822550908161	0.8636738650848437	0.9999567909085414
ENSMUSG00000000056	3937.126035582146	-3.221952770861369e-4	0.008176894650143374	0.5879521372144239	0.9999567909085414
ENSMUSG00000000058	845.6907969335725	-1.1120692052466655e-4	0.008192287320802672	0.7294483752016463	0.9999567909085414
ENSMUSG00000000078	1568.3594439237697	-2.731046819993111e-4	0.008182057693859171	0.5991436052784609	0.9999567909085414
ENSMUSG00000000085	1573.2743031265616	4.061557527229892e-4	0.008181574004236301	0.44095226405310295	0.9999567909085414
ENSMUSG00000000088	3273.3218905005006	4.572672460031031e-4	0.008181351128078848	0.38870621090860047	0.9999567909085414
ENSMUSG00000000093	50.93355044479315	-3.9526421560594776e-5	0.008197014249817525	0.8065905887689461	0.9999567909085414
ENSMUSG00000000094	7.530802984881631	-3.757030494901826e-5	0.008198350390241924	0.5606198082995226	0.9999567909085414
ENSMUSG00000000120	177.71369959821914	1.7616445128609828e-4	0.008195652329018433	0.42311371842239665	0.9999567909085414
ENSMUSG00000000125	614.8736239941028	-3.2764003870797285e-5	0.008190848348570314	0.9267129343098437	0.9999567909085414
ENSMUSG00000000126	48.382929865940426	1.239219987023962e-4	0.008197359246450207	0.385748238603347	0.9999567909085414
ENSMUSG00000000127	1433.6246105186078	-8.018143370859173e-4	0.008187242538272459	0.0627645453892354	0.9999567909085414
ENSMUSG00000000131	3569.569783130583	-2.601193454323385e-4	0.008182367732477094	0.6132965948028911	0.9999567909085414
ENSMUSG00000000134	1434.8572825673373	1.9845014421166835e-4	0.00818286195482576	0.6954017970222508	0.9999567909085414
