ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030371,translation repressor activity,1/123,33/28171,0.1345295672839869,0.2886092786488031,0.24689716068201703,12696,1
GO:0042608,T cell receptor binding,1/123,33/28171,0.1345295672839869,0.2886092786488031,0.24689716068201703,15015,1
GO:0033218,amide binding,4/123,450/28171,0.1346843300361081,0.2886092786488031,0.24689716068201703,227231/381853/15015/17136,4
GO:1901681,sulfur compound binding,3/123,293/28171,0.13691822166648382,0.2914137826009622,0.24929633532446557,18784/74499/20887,3
GO:0030547,signaling receptor inhibitor activity,1/123,35/28171,0.14207964740769952,0.29828894772054393,0.25517784667154303,278507,1
GO:0072349,modified amino acid transmembrane transporter activity,1/123,35/28171,0.14207964740769952,0.29828894772054393,0.25517784667154303,11989,1
GO:0001968,fibronectin binding,1/123,36/28171,0.14583015221893258,0.29828894772054393,0.25517784667154303,21923,1
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,1/123,36/28171,0.14583015221893258,0.29828894772054393,0.25517784667154303,114230,1
GO:0016251,RNA polymerase II general transcription initiation factor activity,1/123,36/28171,0.14583015221893258,0.29828894772054393,0.25517784667154303,74469,1
GO:0031624,ubiquitin conjugating enzyme binding,1/123,36/28171,0.14583015221893258,0.29828894772054393,0.25517784667154303,434246,1
GO:0070330,aromatase activity,1/123,37/28171,0.14956439395616616,0.30395344578188604,0.2600236662327915,13113,1
GO:0070273,phosphatidylinositol-4-phosphate binding,1/123,39/28171,0.15698436769019253,0.3163195324074671,0.2706025072558449,329502,1
GO:0008395,steroid hydroxylase activity,1/123,40/28171,0.16067023868315788,0.3163195324074671,0.2706025072558449,13113,1
GO:0016859,cis-trans isomerase activity,1/123,40/28171,0.16067023868315788,0.3163195324074671,0.2706025072558449,114230,1
GO:0030291,protein serine/threonine kinase inhibitor activity,1/123,40/28171,0.16067023868315788,0.3163195324074671,0.2706025072558449,381853,1
GO:0046703,natural killer cell lectin-like receptor binding,1/123,40/28171,0.16067023868315788,0.3163195324074671,0.2706025072558449,15015,1
GO:0042288,MHC class I protein binding,1/123,41/28171,0.164340124596989,0.320511625552117,0.2741887256185195,15015,1
GO:0042056,chemoattractant activity,1/123,42/28171,0.16799409419082367,0.320511625552117,0.2741887256185195,18205,1
GO:0043531,ADP binding,1/123,42/28171,0.16799409419082367,0.320511625552117,0.2741887256185195,50709,1
GO:0044390,ubiquitin-like protein conjugating enzyme binding,1/123,42/28171,0.16799409419082367,0.320511625552117,0.2741887256185195,434246,1
GO:0016853,isomerase activity,2/123,169/28171,0.16858749075243748,0.320511625552117,0.2741887256185195,114230/21973,2
GO:0061630,ubiquitin protein ligase activity,3/123,324/28171,0.16890453917984577,0.320511625552117,0.2741887256185195,74165/386454/434246,3
GO:0004180,carboxypeptidase activity,1/123,43/28171,0.17163221593047062,0.3218104048696324,0.2752997949761935,242939,1
GO:0005245,voltage-gated calcium channel activity,1/123,43/28171,0.17163221593047062,0.3218104048696324,0.2752997949761935,12290,1
GO:0008201,heparin binding,2/123,174/28171,0.17634725366655699,0.32869458523648193,0.2811890186150021,18784/74499,2
GO:0004715,non-membrane spanning protein tyrosine kinase activity,1/123,45/28171,0.17886118825122188,0.32948113625225084,0.2818618909960776,19229,1
GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding",1/123,45/28171,0.17886118825122188,0.32948113625225084,0.2818618909960776,329502,1
GO:0061659,ubiquitin-like protein ligase activity,3/123,337/28171,0.18291819331622555,0.33499552845704095,0.28657929919800335,74165/386454/434246,3
GO:0008227,G protein-coupled amine receptor activity,1/123,47/28171,0.18602758346612325,0.3355059385602127,0.28701594075660636,13491,1
GO:0032266,phosphatidylinositol-3-phosphate binding,1/123,47/28171,0.18602758346612325,0.3355059385602127,0.28701594075660636,329502,1
GO:0015485,cholesterol binding,1/123,48/28171,0.18958748274196147,0.3355059385602127,0.28701594075660636,11815,1
GO:0016879,"ligase activity, forming carbon-nitrogen bonds",1/123,48/28171,0.18958748274196147,0.3355059385602127,0.28701594075660636,227231,1
GO:0032813,tumor necrosis factor receptor superfamily binding,1/123,48/28171,0.18958748274196147,0.3355059385602127,0.28701594075660636,18205,1
GO:0140223,general transcription initiation factor activity,1/123,48/28171,0.18958748274196147,0.3355059385602127,0.28701594075660636,74469,1
GO:0015932,nucleobase-containing compound transmembrane transporter activity,1/123,49/28171,0.19313193886764934,0.3398690544318969,0.29074846427590845,228993,1
GO:0031491,nucleosome binding,1/123,50/28171,0.19666101829014004,0.3441567820077451,0.29441649521798746,50709,1
GO:0017046,peptide hormone binding,1/123,51/28171,0.20017478717283688,0.3464563624145254,0.2963837218984745,381853,1
GO:1901505,carbohydrate derivative transmembrane transporter activity,1/123,51/28171,0.20017478717283688,0.3464563624145254,0.2963837218984745,228993,1
GO:0005244,voltage-gated monoatomic ion channel activity,2/123,192/28171,0.20470216956266898,0.3523561935095122,0.3014308622838266,12290/19229,2
GO:0022832,voltage-gated channel activity,2/123,193/28171,0.2062932212895636,0.35272619901084173,0.3017473916350058,12290/19229,2
GO:0008374,O-acyltransferase activity,1/123,53/28171,0.20715665656192295,0.35272619901084173,0.3017473916350058,232889,1
GO:0004252,serine-type endopeptidase activity,2/123,195/28171,0.209479392486336,0.3528663563272505,0.30186729229666215,11434/19144,2
GO:0016829,lyase activity,2/123,195/28171,0.209479392486336,0.3528663563272505,0.30186729229666215,109900/12182,2
GO:1901682,sulfur compound transmembrane transporter activity,1/123,55/28171,0.21407807071666618,0.35869463976462684,0.30685322566330653,55961,1
GO:0032934,sterol binding,1/123,56/28171,0.2175162695110131,0.3625271158516885,0.3101318016976851,11815,1
GO:0022824,transmitter-gated monoatomic ion channel activity,1/123,57/28171,0.22093954885834144,0.36437674288155786,0.311714105856905,19229,1
GO:0022835,transmitter-gated channel activity,1/123,57/28171,0.22093954885834144,0.36437674288155786,0.311714105856905,19229,1
GO:0004536,deoxyribonuclease activity,1/123,58/28171,0.22434797297054287,0.366163790081456,0.3132428747229833,66705,1
GO:0050840,extracellular matrix binding,1/123,58/28171,0.22434797297054287,0.366163790081456,0.3132428747229833,18073,1
GO:0004601,peroxidase activity,1/123,60/28171,0.23112051096784658,0.37334851771729066,0.3193892081391025,14778,1
GO:0042287,MHC protein binding,1/123,60/28171,0.23112051096784658,0.37334851771729066,0.3193892081391025,15015,1
GO:0008236,serine-type peptidase activity,2/123,212/28171,0.23673734819716563,0.3764715246090478,0.3220608531325522,11434/19144,2
GO:0005080,protein kinase C binding,1/123,62/28171,0.2378343917371445,0.3764715246090478,0.3220608531325522,21973,1
GO:0008235,metalloexopeptidase activity,1/123,62/28171,0.2378343917371445,0.3764715246090478,0.3220608531325522,242939,1
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",1/123,62/28171,0.2378343917371445,0.3764715246090478,0.3220608531325522,14778,1
GO:0017171,serine hydrolase activity,2/123,217/28171,0.24479726737312174,0.3855556961126667,0.329832107618522,11434/19144,2
GO:0051015,actin filament binding,2/123,221/28171,0.25125357881735294,0.3937556085943591,0.33684690325866645,77767/17357,2
GO:0098960,postsynaptic neurotransmitter receptor activity,1/123,68/28171,0.25762910828865704,0.3999025479504001,0.34210543784562214,13491,1
