"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05160","mmu05160","Hepatitis C - Mus musculus (house mouse)","3/8","164/11206",0.000163304461415479,0.00448002917031964,0.00280400118768228,"15957/54123/23961",3
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","3/8","212/11206",0.00034853535707374,0.00448002917031964,0.00280400118768228,"15951/54123/23961",3
"mmu05168","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","3/8","215/11206",0.000363245608404296,0.00448002917031964,0.00280400118768228,"69550/54123/23961",3
"mmu04623","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","2/8","82/11206",0.00143938642293817,0.013314324412178,0.00833328981701044,"15951/54123",2
"mmu04657","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","2/8","97/11206",0.00200720113626617,0.0148532884083697,0.00929651052586438,"16819/19225",2
"mmu05162","mmu05162","Measles - Mus musculus (house mouse)","2/8","142/11206",0.00424677334633946,0.02618843563576,0.0163910550209593,"54123/23961",2
"mmu05164","mmu05164","Influenza A - Mus musculus (house mouse)","2/8","174/11206",0.00631201151116934,0.0333634894161808,0.0208818425933422,"54123/23961",2
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","2/8","223/11206",0.0101999834336795,0.0437605189583434,0.0273892295045108,"54123/19225",2
"mmu05169","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","2/8","228/11206",0.0106444505574349,0.0437605189583434,0.0273892295045108,"54123/23961",2
